"Passenger","survived","passenger.class","gender","age","siblings.spouses.aboard","parents.children.aboard","family.size"
1,0,3,"male",22,1,0,2
2,1,1,"female",38,1,0,2
3,1,3,"female",26,0,0,1
4,1,1,"female",35,1,0,2
5,0,3,"male",35,0,0,1
6,0,3,"male",29.6991176470588,0,0,1
7,0,1,"male",54,0,0,1
8,0,3,"male",2,3,1,5
9,1,3,"female",27,0,2,3
10,1,2,"female",14,1,0,2
11,1,3,"female",4,1,1,3
12,1,1,"female",58,0,0,1
13,0,3,"male",20,0,0,1
14,0,3,"male",39,1,5,7
15,0,3,"female",14,0,0,1
16,1,2,"female",55,0,0,1
17,0,3,"male",2,4,1,6
18,1,2,"male",29.6991176470588,0,0,1
19,0,3,"female",31,1,0,2
20,1,3,"female",29.6991176470588,0,0,1
21,0,2,"male",35,0,0,1
22,1,2,"male",34,0,0,1
23,1,3,"female",15,0,0,1
24,1,1,"male",28,0,0,1
25,0,3,"female",8,3,1,5
26,1,3,"female",38,1,5,7
27,0,3,"male",29.6991176470588,0,0,1
28,0,1,"male",19,3,2,6
29,1,3,"female",29.6991176470588,0,0,1
30,0,3,"male",29.6991176470588,0,0,1
31,0,1,"male",40,0,0,1
32,1,1,"female",29.6991176470588,1,0,2
33,1,3,"female",29.6991176470588,0,0,1
34,0,2,"male",66,0,0,1
35,0,1,"male",28,1,0,2
36,0,1,"male",42,1,0,2
37,1,3,"male",29.6991176470588,0,0,1
38,0,3,"male",21,0,0,1
39,0,3,"female",18,2,0,3
40,1,3,"female",14,1,0,2
41,0,3,"female",40,1,0,2
42,0,2,"female",27,1,0,2
43,0,3,"male",29.6991176470588,0,0,1
44,1,2,"female",3,1,2,4
45,1,3,"female",19,0,0,1
46,0,3,"male",29.6991176470588,0,0,1
47,0,3,"male",29.6991176470588,1,0,2
48,1,3,"female",29.6991176470588,0,0,1
49,0,3,"male",29.6991176470588,2,0,3
50,0,3,"female",18,1,0,2
51,0,3,"male",7,4,1,6
52,0,3,"male",21,0,0,1
53,1,1,"female",49,1,0,2
54,1,2,"female",29,1,0,2
55,0,1,"male",65,0,1,2
56,1,1,"male",29.6991176470588,0,0,1
57,1,2,"female",21,0,0,1
58,0,3,"male",28.5,0,0,1
59,1,2,"female",5,1,2,4
60,0,3,"male",11,5,2,8
61,0,3,"male",22,0,0,1
62,1,1,"female",38,0,0,1
63,0,1,"male",45,1,0,2
64,0,3,"male",4,3,2,6
65,0,1,"male",29.6991176470588,0,0,1
66,1,3,"male",29.6991176470588,1,1,3
67,1,2,"female",29,0,0,1
68,0,3,"male",19,0,0,1
69,1,3,"female",17,4,2,7
70,0,3,"male",26,2,0,3
71,0,2,"male",32,0,0,1
72,0,3,"female",16,5,2,8
73,0,2,"male",21,0,0,1
74,0,3,"male",26,1,0,2
75,1,3,"male",32,0,0,1
76,0,3,"male",25,0,0,1
77,0,3,"male",29.6991176470588,0,0,1
78,0,3,"male",29.6991176470588,0,0,1
79,1,2,"male",0.83,0,2,3
80,1,3,"female",30,0,0,1
81,0,3,"male",22,0,0,1
82,1,3,"male",29,0,0,1
83,1,3,"female",29.6991176470588,0,0,1
84,0,1,"male",28,0,0,1
85,1,2,"female",17,0,0,1
86,1,3,"female",33,3,0,4
87,0,3,"male",16,1,3,5
88,0,3,"male",29.6991176470588,0,0,1
89,1,1,"female",23,3,2,6
90,0,3,"male",24,0,0,1
91,0,3,"male",29,0,0,1
92,0,3,"male",20,0,0,1
93,0,1,"male",46,1,0,2
94,0,3,"male",26,1,2,4
95,0,3,"male",59,0,0,1
96,0,3,"male",29.6991176470588,0,0,1
97,0,1,"male",71,0,0,1
98,1,1,"male",23,0,1,2
99,1,2,"female",34,0,1,2
100,0,2,"male",34,1,0,2
101,0,3,"female",28,0,0,1
102,0,3,"male",29.6991176470588,0,0,1
103,0,1,"male",21,0,1,2
104,0,3,"male",33,0,0,1
105,0,3,"male",37,2,0,3
106,0,3,"male",28,0,0,1
107,1,3,"female",21,0,0,1
108,1,3,"male",29.6991176470588,0,0,1
109,0,3,"male",38,0,0,1
110,1,3,"female",29.6991176470588,1,0,2
111,0,1,"male",47,0,0,1
112,0,3,"female",14.5,1,0,2
113,0,3,"male",22,0,0,1
114,0,3,"female",20,1,0,2
115,0,3,"female",17,0,0,1
116,0,3,"male",21,0,0,1
117,0,3,"male",70.5,0,0,1
118,0,2,"male",29,1,0,2
119,0,1,"male",24,0,1,2
120,0,3,"female",2,4,2,7
121,0,2,"male",21,2,0,3
122,0,3,"male",29.6991176470588,0,0,1
123,0,2,"male",32.5,1,0,2
124,1,2,"female",32.5,0,0,1
125,0,1,"male",54,0,1,2
126,1,3,"male",12,1,0,2
127,0,3,"male",29.6991176470588,0,0,1
128,1,3,"male",24,0,0,1
129,1,3,"female",29.6991176470588,1,1,3
130,0,3,"male",45,0,0,1
131,0,3,"male",33,0,0,1
132,0,3,"male",20,0,0,1
133,0,3,"female",47,1,0,2
134,1,2,"female",29,1,0,2
135,0,2,"male",25,0,0,1
136,0,2,"male",23,0,0,1
137,1,1,"female",19,0,2,3
138,0,1,"male",37,1,0,2
139,0,3,"male",16,0,0,1
140,0,1,"male",24,0,0,1
141,0,3,"female",29.6991176470588,0,2,3
142,1,3,"female",22,0,0,1
143,1,3,"female",24,1,0,2
144,0,3,"male",19,0,0,1
145,0,2,"male",18,0,0,1
146,0,2,"male",19,1,1,3
147,1,3,"male",27,0,0,1
148,0,3,"female",9,2,2,5
149,0,2,"male",36.5,0,2,3
150,0,2,"male",42,0,0,1
151,0,2,"male",51,0,0,1
152,1,1,"female",22,1,0,2
153,0,3,"male",55.5,0,0,1
154,0,3,"male",40.5,0,2,3
155,0,3,"male",29.6991176470588,0,0,1
156,0,1,"male",51,0,1,2
157,1,3,"female",16,0,0,1
158,0,3,"male",30,0,0,1
159,0,3,"male",29.6991176470588,0,0,1
160,0,3,"male",29.6991176470588,8,2,11
161,0,3,"male",44,0,1,2
162,1,2,"female",40,0,0,1
163,0,3,"male",26,0,0,1
164,0,3,"male",17,0,0,1
165,0,3,"male",1,4,1,6
166,1,3,"male",9,0,2,3
167,1,1,"female",29.6991176470588,0,1,2
168,0,3,"female",45,1,4,6
169,0,1,"male",29.6991176470588,0,0,1
170,0,3,"male",28,0,0,1
171,0,1,"male",61,0,0,1
172,0,3,"male",4,4,1,6
173,1,3,"female",1,1,1,3
174,0,3,"male",21,0,0,1
175,0,1,"male",56,0,0,1
176,0,3,"male",18,1,1,3
177,0,3,"male",29.6991176470588,3,1,5
178,0,1,"female",50,0,0,1
179,0,2,"male",30,0,0,1
180,0,3,"male",36,0,0,1
181,0,3,"female",29.6991176470588,8,2,11
182,0,2,"male",29.6991176470588,0,0,1
183,0,3,"male",9,4,2,7
184,1,2,"male",1,2,1,4
185,1,3,"female",4,0,2,3
186,0,1,"male",29.6991176470588,0,0,1
187,1,3,"female",29.6991176470588,1,0,2
188,1,1,"male",45,0,0,1
189,0,3,"male",40,1,1,3
190,0,3,"male",36,0,0,1
191,1,2,"female",32,0,0,1
192,0,2,"male",19,0,0,1
193,1,3,"female",19,1,0,2
194,1,2,"male",3,1,1,3
195,1,1,"female",44,0,0,1
196,1,1,"female",58,0,0,1
197,0,3,"male",29.6991176470588,0,0,1
198,0,3,"male",42,0,1,2
199,1,3,"female",29.6991176470588,0,0,1
200,0,2,"female",24,0,0,1
201,0,3,"male",28,0,0,1
202,0,3,"male",29.6991176470588,8,2,11
203,0,3,"male",34,0,0,1
204,0,3,"male",45.5,0,0,1
205,1,3,"male",18,0,0,1
206,0,3,"female",2,0,1,2
207,0,3,"male",32,1,0,2
208,1,3,"male",26,0,0,1
209,1,3,"female",16,0,0,1
210,1,1,"male",40,0,0,1
211,0,3,"male",24,0,0,1
212,1,2,"female",35,0,0,1
213,0,3,"male",22,0,0,1
214,0,2,"male",30,0,0,1
215,0,3,"male",29.6991176470588,1,0,2
216,1,1,"female",31,1,0,2
217,1,3,"female",27,0,0,1
218,0,2,"male",42,1,0,2
219,1,1,"female",32,0,0,1
220,0,2,"male",30,0,0,1
221,1,3,"male",16,0,0,1
222,0,2,"male",27,0,0,1
223,0,3,"male",51,0,0,1
224,0,3,"male",29.6991176470588,0,0,1
225,1,1,"male",38,1,0,2
226,0,3,"male",22,0,0,1
227,1,2,"male",19,0,0,1
228,0,3,"male",20.5,0,0,1
229,0,2,"male",18,0,0,1
230,0,3,"female",29.6991176470588,3,1,5
231,1,1,"female",35,1,0,2
232,0,3,"male",29,0,0,1
233,0,2,"male",59,0,0,1
234,1,3,"female",5,4,2,7
235,0,2,"male",24,0,0,1
236,0,3,"female",29.6991176470588,0,0,1
237,0,2,"male",44,1,0,2
238,1,2,"female",8,0,2,3
239,0,2,"male",19,0,0,1
240,0,2,"male",33,0,0,1
241,0,3,"female",29.6991176470588,1,0,2
242,1,3,"female",29.6991176470588,1,0,2
243,0,2,"male",29,0,0,1
244,0,3,"male",22,0,0,1
245,0,3,"male",30,0,0,1
246,0,1,"male",44,2,0,3
247,0,3,"female",25,0,0,1
248,1,2,"female",24,0,2,3
249,1,1,"male",37,1,1,3
250,0,2,"male",54,1,0,2
251,0,3,"male",29.6991176470588,0,0,1
252,0,3,"female",29,1,1,3
